"","2011","2012","2009","2010"
"72",445.950525575116,482.321335801107,435.50981454127,443.000257216367
"73",449.725732111286,486.985499332443,448.142393449263,452.484949651167
"74",449.725732111286,492.762510372001,467.354297648481,471.438345179059
"75",454.228190015315,501.487742922756,477.013269455919,483.797539824515
"76",463.9908624601,501.487742922756,484.764808946318,483.797539824515
"77",468.600754923099,503.851727885876,484.764808946318,490.086939512491
"78",484.263706820469,513.107284783341,484.764808946318,497.548934649975
"79",489.841635425472,515.814034967387,494.495714262758,502.217225130969
"80",489.841635425472,515.814034967387,494.495714262758,502.217225130969
"81",493.686948889567,515.814034967387,494.495714262758,504.461734745201
"82",493.686948889567,518.532394412049,501.949414229543,516.334529482159
"83",493.686948889567,526.01647403855,507.806513238626,529.420607527978
"84",513.822819139575,528.604860225253,514.079646874115,533.341365580867
"85",534.416347008713,528.604860225253,516.671904920483,539.605732571995
"86",537.625883526915,528.604860225253,526.245505376872,551.782096469993
"87",537.625883526915,545.470466039196,526.245505376872,554.753788574744
"88",541.519276041759,552.958372804942,537.177363113641,562.339205276191
"89",548.124594552706,552.958372804942,541.780909588504,567.363645069877
"90",548.124594552706,552.958372804942,550.475789403086,567.363645069877
"91",565.409857447366,555.810763961742,554.406025438609,572.721086912684
"92",589.434310091631,572.959783900753,554.406025438609,590.355558836213
"93",602.601117096804,576.308551171016,554.406025438609,597.743129374003
"94",609.968928511782,579.6749160051,557.36181305612,597.743129374003
"95",617.367050309541,579.6749160051,557.36181305612,597.743129374003
"96",627.654581959417,579.6749160051,564.087956158968,615.374511523124
"97",639.406807573404,596.869643445166,564.087956158968,633.335989780926
"98",644.258861955509,608.769852717759,567.458710289165,647.27003963123
"99",648.446592311285,622.924377274077,567.458710289165,647.27003963123
"100",652.948018926486,643.461642475054,577.458105855649,674.61773015352
"101",667.710341602266,653.831698355537,592.447832862046,689.573785374553
"102",679.841665167063,660.887955880098,596.912978854816,694.031515974817
"103",686.142402465936,665.312648431422,605.71675206269,705.784990413054
"104",691.065156188029,678.817994035744,611.504413698526,721.563951380415
"105",697.782007621618,682.967288623707,616.427702869656,729.910202139617
"106",704.548898611489,693.559669931086,622.769684902559,737.048469300523
"107",722.993462541218,713.546192283526,630.4767156984,746.311967192048
"108",730.360982781986,723.660110103365,634.684157157594,746.311967192048
"109",740.422719663976,726.226523406523,639.984382925939,759.172832009811
"110",740.422719663976,736.193788040511,660.639762173603,770.374394223443
"111",745.366582480113,743.739484572354,663.469197706427,784.221117665557
"112",754.437973059554,749.413893895138,671.821543501222,790.423915841983
"113",757.472024678013,765.470554171852,671.821543501222,806.746263334249
"114",763.799044917183,772.029077872965,674.461685252136,820.887780931164
"115",769.627492488659,794.369411386291,674.461685252136,826.372095350592
"116",789.137125322408,817.532126345915,697.327172006525,831.315580890254
"117",800.169127388959,824.416272816544,705.674887770343,847.384469143563
"118",800.169127388959,829.591032691011,725.720481681091,852.543295468715
"119",800.169127388959,844.09443364273,734.113188996121,866.296374689737
"120",804.71376489999,847.960697238441,747.973052474352,866.296374689737
"121",823.016797283604,847.960697238441,754.907115639612,875.387216665881
"122",826.226304250152,873.683814126247,757.622470016442,879.371645014138
"123",829.095919857726,884.74052534734,760.676665783527,894.051560381602
"124",841.652445349782,892.739398451658,760.676665783527,899.769023109764
"125",841.652445349782,899.683422542703,772.711513215116,899.769023109764
"126",845.667112648978,899.683422542703,787.685846846623,906.290351729192
"127",867.384503795604,899.683422542703,803.253044013717,909.161919294453
"128",873.706957727073,912.515892017221,814.619346554742,909.161919294453
"129",877.6389618881,915.587719458058,820.208709802025,932.782242496523
"130",877.6389618881,920.878416251266,824.271504794208,952.443925653717
"131",881.361226705481,945.827570665916,824.271504794208,952.443925653717
"132",889.457768433838,964.727783680252,826.947320815662,956.015109335
"133",903.241121300255,974.079915604259,826.947320815662,956.015109335
"134",912.626302291208,987.27461020858,831.429194759909,977.83528630904
"135",924.411184860105,999.482075626367,843.275027498041,977.83528630904
"136",931.716624985066,1012.09295536099,846.056823427507,977.83528630904
"137",950.221473526406,1027.04135970639,870.41165369253,992.585056730944
"138",964.153588757436,1052.84457896943,887.67526132014,1008.7500855602
