"","2012","2011","2009","2010"
"48",183.551132181653,203.993788202052,192.841993260801,197.69598324311
"49",183.551132181653,207.330213530212,207.042226428237,208.116317132627
"50",183.551132181653,207.330213530212,209.731728725246,216.928356491728
"51",183.551132181653,210.750467861499,216.986881676988,216.928356491728
"52",187.095205462598,213.701391279701,219.215113673944,216.928356491728
"53",187.095205462598,228.460085845701,219.215113673944,216.928356491728
"54",190.363037269458,228.460085845701,230.79945806058,216.928356491728
"55",190.363037269458,228.460085845701,237.491547439374,216.928356491728
"56",190.363037269458,228.460085845701,240.608815088025,216.928356491728
"57",193.422401107378,228.460085845701,240.608815088025,216.928356491728
"58",198.012287134398,234.797844746959,247.775908452922,231.210147369038
"59",198.012287134398,234.797844746959,250.676458753268,231.210147369038
"60",198.012287134398,234.797844746959,250.676458753268,231.210147369038
"61",215.336353158159,241.3479504141,252.905977487565,236.950138800085
"62",220.637923444079,249.029303553164,252.905977487565,242.167344260358
"63",223.972673983581,249.029303553164,252.905977487565,246.322506111222
"64",223.972673983581,254.182691311438,264.108862595541,246.322506111222
"65",228.487075620032,254.182691311438,273.418514429491,259.761225090453
"66",236.377762093853,254.182691311438,273.418514429491,259.761225090453
"67",236.377762093853,257.989273874701,273.418514429491,259.761225090453
"68",239.60886289158,257.989273874701,273.418514429491,259.761225090453
"69",239.60886289158,257.989273874701,277.73358147966,263.074714968716
"70",251.674215941418,257.989273874701,277.73358147966,269.519669343811
"71",254.884854778265,257.989273874701,281.668919887105,269.519669343811
"72",254.884854778265,261.910124719817,281.668919887105,269.519669343811
"73",260.697506197001,261.910124719817,283.931699017489,274.307174639092
"74",260.697506197001,266.248173044638,294.534764469372,277.784381640271
"75",260.697506197001,271.34241368484,294.534764469372,277.784381640271
"76",260.697506197001,275.395893054366,294.534764469372,281.912302104902
"77",274.054782284824,279.134895199369,307.995906878115,281.912302104902
"78",274.054782284824,279.134895199369,312.488911541616,287.511525948349
"79",276.703574648604,284.195074474694,312.488911541616,290.375777791038
"80",276.703574648604,287.489713195893,326.598527643116,290.375777791038
"81",276.703574648604,287.489713195893,326.598527643116,290.375777791038
"82",281.505397220245,287.489713195893,329.582747246195,293.286916951163
"83",281.505397220245,287.489713195893,341.065854387806,298.353654657389
"84",286.504971006533,289.757882715316,349.891374579661,298.353654657389
"85",293.867491484709,289.757882715316,352.537639157914,298.353654657389
"86",296.76806612089,289.757882715316,352.537639157914,309.438301548694
"87",296.76806612089,289.757882715316,354.882278091584,321.409006176461
"88",296.76806612089,293.041066727653,354.882278091584,321.409006176461
"89",299.367311760803,302.212724108953,354.882278091584,329.173929418333
"90",299.367311760803,302.212724108953,354.882278091584,335.622136134069
"91",299.367311760803,309.930374607175,371.917375752623,344.230012925767
"92",299.367311760803,317.414570213269,371.917375752623,352.823925612957
"93",303.224502550768,341.750138405438,380.779779179589,359.480233711522
"94",303.224502550768,345.334972675557,386.597398248353,359.480233711522
"95",311.473218848522,347.701906004164,389.314811406072,359.480233711522
"96",315.352101505071,347.701906004164,389.314811406072,367.583762177575
"97",323.53274503859,355.114876095869,389.314811406072,370.445271643058
"98",323.53274503859,370.626862412217,389.314811406072,374.804592982589
"99",331.355344038442,373.570510923824,389.314811406072,385.423035539131
"100",357.209430750199,375.902272865051,408.053007909831,400.979792897353
"101",357.209430750199,375.902272865051,408.053007909831,400.979792897353
"102",360.185599141342,375.902272865051,408.053007909831,415.064894128223
"103",360.185599141342,379.284935079322,421.654086260818,415.064894128223
"104",360.185599141342,382.276123363469,428.017146053934,415.064894128223
"105",360.185599141342,397.931579684564,448.311640780005,420.096871734838
"106",365.784653717303,401.323413501575,460.900078975037,424.945617407647
"107",372.594882207516,416.633793433712,479.584670559491,424.945617407647
"108",372.594882207516,416.633793433712,484.469227694905,428.518464125811
"109",372.594882207516,416.633793433712,484.469227694905,436.939301021497
"110",372.594882207516,418.910823657329,496.217908492893,446.10158196382
"111",378.600521099145,426.280377670297,511.191116909593,446.10158196382
