"","2011","2012","2010","2013","2014"
"58",413.98854261668,531.768621609043,485.530698179745,445.876805960269,431.032748544509
"59",422.439455446793,531.768621609043,489.080155088024,461.600398821581,434.648551905149
"60",436.112317174974,531.768621609043,489.080155088024,469.904076860119,442.865985846872
"61",441.30456862114,537.983467291861,495.704655857863,479.491567171788,453.196367710814
"62",454.650392821147,557.800813023188,504.367908202799,479.491567171788,459.697141103229
"63",466.795364124106,580.994166794404,525.603944026732,485.271643885366,467.017366773673
"64",483.514516489316,594.172692767468,529.517128598074,498.185054630846,486.660207040684
"65",483.514516489316,597.961521500689,549.583114874545,503.401025113981,489.61699521508
"66",494.093816471564,618.877543864481,554.121083216848,510.127085064992,502.132623146941
"67",501.953089371985,618.877543864481,554.121083216848,510.127085064992,502.132623146941
"68",526.414359867459,637.184560863893,554.121083216848,512.751901142684,507.022010068718
"69",539.512721577907,658.019320172326,570.382652538115,516.799899541467,513.147477783835
"70",560.616947113508,661.817290131924,575.222601994344,522.049610303646,517.240311568973
"71",569.446228087679,661.817290131924,579.665378922405,522.049610303646,533.024076369961
"72",569.446228087679,661.817290131924,583.201789322647,539.815344213016,550.209853254096
"73",587.497959661364,674.042856683182,591.23096484737,556.450700698135,558.571783656665
"74",587.497959661364,682.33079367879,591.23096484737,559.893472465079,575.649678616201
"75",604.038114770889,682.33079367879,596.254739182802,573.705058400005,575.649678616201
"76",623.23330447588,685.029925269395,596.254739182802,585.155731101146,588.532497243983
"77",642.643418626726,687.765321053279,616.717689108895,599.374423993567,599.690828457081
"78",649.024519813626,694.965209761844,622.009829586873,607.285061170268,610.923886896823
"79",654.47999546082,705.917918663776,632.255629652283,630.610611971977,637.547184056135
"80",659.638525027487,709.207146437045,632.255629652283,634.447551568403,649.780416226083
"81",672.686976024706,726.92800465332,653.246073891616,646.709662462851,653.710648806351
"82",681.710114575017,732.588482779639,653.246073891616,651.820378364657,653.710648806351
"83",686.569841569103,732.588482779639,655.489613642757,651.820378364657,659.352456743746
"84",693.774843124791,747.637861166165,655.489613642757,663.925517751987,659.352456743746
"85",700.032056044764,753.270704122405,657.782369972933,670.341671550976,659.352456743746
"86",703.501064770597,765.65839269933,678.551076107144,684.683050544001,663.807739731664
"87",727.462362019465,778.139826601601,682.895359114917,706.172782424466,663.807739731664
"88",746.885032382041,798.786820971288,682.895359114917,720.307674477375,666.444347758663
"89",761.582938995871,805.524853664358,682.895359114917,720.307674477375,685.891611468917
"90",761.582938995871,812.527953783206,690.876140399068,727.503867320363,691.901460464658
"91",773.497795151874,821.596853703256,705.344574355642,741.254326323577,696.924333101187
"92",785.211446744561,835.831391392705,724.42336447964,750.88104367729,706.450693189743
"93",797.480168867391,862.047153960933,750.976836899035,750.88104367729,723.248816720678
"94",815.818021142328,871.067537949308,761.175806534936,766.865372663941,727.564653214987
"95",815.818021142328,876.005940907379,765.456776733193,766.865372663941,730.167040577328
