"X","Species","Type","site","lat","lon","alt","Biome","year","tree","DOY","MAT","Chill0_5","Chill_5_5","Chill_5_0","Chill_10_0","Force5s","photoperiod","scPDSI1","scPDSI2","scPDSI3","scPDSI4","scPDSI5","scPDSI6","scPDSI_p","SPEI1m1","SPEI1m2","SPEI1m3","SPEI1m4","SPEI1m5","SPEI1m6","SPEI1m_p","SPEI3m1","SPEI3m2","SPEI3m3","SPEI3m4","SPEI3m5","SPEI3m6","SPEI3m_p","SPEI6m1","SPEI6m2","SPEI6m3","SPEI6m4","SPEI6m5","SPEI6m6","SPEI6m_p","Precip","PrecipDOY"
"30","ABAL","Late","GRD",48.48333333,7.15,643,"Temperate",2008,64,127,8.87532778774863,83,124,41,47,201.916998546913,14.65,-0.79,-1.13,0.45,1.32,0.79,0.33,1.32,0.39855,-0.78842,0.55871,1.932,0.17222,-0.57248,1.932,0.1366,-0.19908,0.018197,1.346,1.4653,1.1818,1.346,0.54745,-0.93315,-0.78705,1.0199,1.0021,0.85668,1.0199,1770.06,696.44
"31","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2006,7,130,10.5280821917808,76,117,41,45,289.976805073549,14.84,-2.74,-2.58,1.16,1.27,2.05,1.65,1.27,-1.5004,0.22958,1.6215,-0.78837,1.6217,-0.79038,-0.78837,-1.2567,-0.65184,0.39501,0.66264,1.4621,0.23395,0.66264,-1.4646,-1.1326,-0.46717,-0.4585,0.56916,0.33212,-0.4585,774,234.6
"32","ABAL","Late","GRA",48.47,4.13,650,"Temperate",2008,57,124,8.32830922596721,84,128,44,49,168.518322724516,14.5,-0.87,-1.09,0.38,0.69,0.65,0.58,0.69,-0.27264,-0.80193,1.0734,0.43455,0.18508,-1.0404,0.43455,-0.55906,-0.4537,0.0021925,0.36006,0.82302,-0.32723,0.36006,-0.61736,-1.389,-0.68308,-0.16817,0.25931,-0.24012,-0.16817,1770.06,696.44
"33","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2006,11,137,10.5280821917808,76,117,41,45,364.493974697464,15.15,-2.74,-2.58,1.16,1.27,2.05,1.65,2.05,-1.5004,0.22958,1.6215,-0.78837,1.6217,-0.79038,1.6217,-1.2567,-0.65184,0.39501,0.66264,1.4621,0.23395,1.4621,-1.4646,-1.1326,-0.46717,-0.4585,0.56916,0.33212,0.56916,774,249.6
"34","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2013,3,132,10.3147945205479,67,98,31,33,322.007502582412,14.94,1.34,1.31,1.19,1.31,2.04,2.04,1.31,-0.17601,0.28648,-0.73606,1.4089,1.4952,0.0044106,1.4089,0.58505,0.51065,-0.47018,0.53295,1.2626,1.5733,0.53295,-0.16604,0.38217,0.1848,0.68356,1.0637,0.77469,0.68356,872.6,268.3
"35","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2007,10,129,10.4800410972877,47,56,9,10,532.09360689856,14.78,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,333.6
"36","ABAL","Late","GRD",48.48333333,7.15,643,"Temperate",2007,57,107,8.0372143042,71,92,21,25,187.37461142382,13.6,1.79,2.05,2.37,1.27,1.76,2.28,1.27,-0.27223,0.91302,1.4194,-1.9141,1.2619,1.5816,-1.9141,-0.84737,0.098294,1.0637,0.35164,0.71046,0.94854,0.35164,1.601,1.049,0.76801,-0.47327,0.49219,1.241,-0.47327,2176.82,718.56
"37","ABAL","Late","PES",41.86666667,14.5,1380,"Temperate",2015,2,132,9.29575342465753,71,107,36,42,247.049302128122,14.27,-1.48,-1.43,-1.38,-1.55,-1.74,-1.88,-1.55,1.9014,1.2327,1.6966,0.0018833,-1.3864,1.0008,0.0018833,1.1036,1.8614,2.2086,1.4094,0.42987,-0.13028,1.4094,0.2991,0.90556,1.3531,1.6301,1.6001,1.6702,1.6301,1057.6,527.4
"38","ABAL","Late","PES",41.86666667,14.5,1380,"Temperate",2015,3,132,9.29575342465753,71,107,36,42,247.049302128122,14.27,-1.48,-1.43,-1.38,-1.55,-1.74,-1.88,-1.55,1.9014,1.2327,1.6966,0.0018833,-1.3864,1.0008,0.0018833,1.1036,1.8614,2.2086,1.4094,0.42987,-0.13028,1.4094,0.2991,0.90556,1.3531,1.6301,1.6001,1.6702,1.6301,1057.6,527.4
"39","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2007,13,101,10.4800410972877,47,56,9,10,263.719085099171,13.27,1.9,2.19,2.38,1.71,1.89,2.26,2.38,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,0.93487,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,1.3172,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,1.1049,930,271.8
"40","ABAL","Late","ABR",48.35,7.066666667,430,"Temperate",2007,52,107,9.33912603786301,64,69,5,8,245.082060922947,13.59,1.79,2.05,2.37,1.27,1.76,2.28,1.27,-0.27223,0.91302,1.4194,-1.9141,1.2619,1.5816,-1.9141,-0.84737,0.098294,1.0637,0.35164,0.71046,0.94854,0.35164,1.601,1.049,0.76801,-0.47327,0.49219,1.241,-0.47327,1384.2,436
"41","ABAL","Late","GRA",48.47,4.13,650,"Temperate",2007,67,107,8.13116673322192,65,83,18,21,187.635702854082,13.6,-1.46,-0.9,-0.48,-1.25,0.23,0.46,-1.25,0.025383,1.1179,0.60117,-1.7664,1.1538,0.32048,-1.7664,-0.33478,0.4154,0.89602,0.12916,0.038169,-0.096923,0.12916,0.84153,0.49528,0.88548,-0.18169,0.31606,0.54459,-0.18169,2176.82,718.56
"42","ABAL","Late","GRD",48.48333333,7.15,643,"Temperate",2008,69,124,8.87532778774863,83,124,41,47,176.800813566296,14.5,-0.79,-1.13,0.45,1.32,0.79,0.33,1.32,0.39855,-0.78842,0.55871,1.932,0.17222,-0.57248,1.932,0.1366,-0.19908,0.018197,1.346,1.4653,1.1818,1.346,0.54745,-0.93315,-0.78705,1.0199,1.0021,0.85668,1.0199,1770.06,696.44
"43","ABAL","Late","GRA",48.47,4.13,650,"Temperate",2007,69,110,8.13116673322192,65,83,18,21,200.289268520412,13.77,-1.46,-0.9,-0.48,-1.25,0.23,0.46,-1.25,0.025383,1.1179,0.60117,-1.7664,1.1538,0.32048,-1.7664,-0.33478,0.4154,0.89602,0.12916,0.038169,-0.096923,0.12916,0.84153,0.49528,0.88548,-0.18169,0.31606,0.54459,-0.18169,2176.82,718.56
"44","ABAL","Late","GRA",48.47,4.13,650,"Temperate",2008,56,130,8.32830922596721,84,128,44,49,227.962519255,14.79,-0.87,-1.09,0.38,0.69,0.65,0.58,0.69,-0.27264,-0.80193,1.0734,0.43455,0.18508,-1.0404,0.43455,-0.55906,-0.4537,0.0021925,0.36006,0.82302,-0.32723,0.36006,-0.61736,-1.389,-0.68308,-0.16817,0.25931,-0.24012,-0.16817,1770.06,696.44
"45","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2006,10,144,10.5280821917808,76,117,41,45,416.318317997481,15.42,-2.74,-2.58,1.16,1.27,2.05,1.65,2.05,-1.5004,0.22958,1.6215,-0.78837,1.6217,-0.79038,1.6217,-1.2567,-0.65184,0.39501,0.66264,1.4621,0.23395,1.4621,-1.4646,-1.1326,-0.46717,-0.4585,0.56916,0.33212,0.56916,774,271.8
"46","ABAL","Late","ABR",48.35,7.066666667,430,"Temperate",2008,54,113,8.97917797744535,62,99,37,40,183.84880321786,13.91,-0.79,-1.13,0.45,1.32,0.79,0.33,1.32,0.39855,-0.78842,0.55871,1.932,0.17222,-0.57248,1.932,0.1366,-0.19908,0.018197,1.346,1.4653,1.1818,1.346,0.54745,-0.93315,-0.78705,1.0199,1.0021,0.85668,1.0199,1102.6,431.8
